appendix;page;row_num;plot_num_plan;point_nums;cadastral_designation;address;area_egrn_m2;land_category;vri_current;land_category_new;vri_new;area_formed_m2;public_territory;formation_method
1;9;1;68(1);1-27;90:18:010176:72:ЗУ1;Республика Крым, г Евпатория, ул Симферопольская;7837.0;Земли населенных пунктов;Туристическое обслуживание;Земли населенных пунктов;Земельные участки (территории) общего пользования;385.0;Территории общего пользования;Образуемый земельный участок расположен в границах зоны размещения объекта.Способ образования - путем раздела исходного земельного участка с кадастровым номером 90:18:010176:72, при этом земельный участок, раздел которого осуществлен, сохраняется в измененных границах (измененный земельный участок).
1;9;2;68(2);1-32;90:18:010176:72;Республика Крым, Евпатория г, Симферопольская ул, уч 1;7837.0;Земли населенных пунктов;Туристическое обслуживание;Земли населенных пунктов;Туристическое обслуживание;7452.0;;Земельный участок, раздел которого осуществлен с сохранением земельного участка в измененных границах. Расположен за границами зоны размещения объекта.
1;9;3;69(1);1-6;90:18:010176:78:ЗУ1;Республика Крым, г Евпатория, ул Симферопольская;3427.0;Земли населенных пунктов;Туристическое обслуживание;Земли населенных пунктов;Земельные участки (территории) общего пользования;155.0;Территории общего пользования;Образуемый земельный участок расположен в границах зоны размещения объекта.Способ образования - путем раздела исходного земельного участка с кадастровым номером 90:18:010176:78, при этом земельный участок, раздел которого осуществлен, сохраняется в измененных границах (измененный земельный участок).
1;9;4;69(2);1-10;90:18:010176:78;Республика Крым, Евпатория г, Симферопольская ул, уч 2Ч;3427.0;Земли населенных пунктов;Туристическое обслуживание;Земли населенных пунктов;Туристическое обслуживание;3272.0;;Земельный участок, раздел которого осуществлен с сохранением земельного участка в измененных границах. Расположен за границами зоны размещения объекта.
1;9;5;70(1);1-22;90:18:010176:81:ЗУ1;Республика Крым, г Евпатория, ул Симферопольская;7702.0;Земли населенных пунктов;Туристическое обслуживание;Земли населенных пунктов;Земельные участки (территории) общего пользования;2220.0;Территории общего пользования;Образуемый земельный участок расположен в границах зоны размещения объекта.Способ образования - путем раздела исходного земельного участка с кадастровым номером 90:18:010176:81, при этом земельный участок, раздел которого осуществлен, сохраняется в измененных границах (измененный земельный участок).
1;9;6;70(2);1-23;90:18:010176:81;Республика Крым, Евпатория г, Симферопольская ул, д 2Ц;7702.0;Земли населенных пунктов;Туристическое обслуживание;Земли населенных пунктов;Туристическое обслуживание;5482.0;;Земельный участок, раздел которого осуществлен с сохранением земельного участка в измененных границах. Расположен за границами зоны размещения объекта.
1;9;7;72(1);1-10;90:18:010179:2176:ЗУ1;Российская Федерация, Российская Федерация, Республика Крым, городской округ Евпатория, г. Евпатория, ул. Симферопольская;4726.0;Земли населенных пунктов;Туристическое обслуживание;Земли населенных пунктов;Земельные участки (территории) общего пользования;528.0;Территории общего пользования;Образуемый земельный участок расположен в границах зоны размещения объекта.Способ образования - путем раздела исходного земельного участка с кадастровым номером 90:18:010179:2176, при этом земельный участок, раздел которого осуществлен, сохраняется в измененных границах (измененный земельный участок).
1;9;8;72(2);1-10;90:18:010179:2176;Российская Федерация, Российская Федерация, Республика Крым, городской округ Евпатория, г. Евпатория, ул. Симферопольская;4726.0;Земли населенных пунктов;Туристическое обслуживание;Земли населенных пунктов;Туристическое обслуживание;4198.0;;Земельный участок, раздел которого осуществлен с сохранением земельного участка в измененных границах. Расположен за границами зоны размещения объекта.
1;9;9;73(1);1-9;90:18:010179:2177:ЗУ1;Российская Федерация, Российская Федерация, Республика Крым, городской округ Евпатория, г. Евпатория, ул. Симферопольская;10512.0;Земли населенных пунктов;Туристическое обслуживание;Земли населенных пунктов;Земельные участки (территории) общего пользования;1529.0;Территории общего пользования;Образуемый земельный участок расположен в границах зоны размещения объекта.Способ образования - путем раздела исходного земельного участка с кадастровым номером 90:18:010179:2177, при этом земельный участок, раздел которого осуществлен, сохраняется в измененных границах (измененный земельный участок).
1;9;10;73(2);1-11;90:18:010179:2177;Российская Федерация, Российская Федерация, Республика Крым, городской округ Евпатория, г. Евпатория, ул. Симферопольская;10512.0;Земли населенных пунктов;Туристическое обслуживание;Земли населенных пунктов;Туристическое обслуживание;8983.0;;Земельный участок, раздел которого осуществлен с сохранением земельного участка в измененных границах. Расположен за границами зоны размещения объекта.
