appendix;page;row_num;plot_num_plan;cadastral_number;address;area_cadastral_m2;storeys;land_category;land_use_type;notes
2;37;1;1;90:18:010182:307;Республика Крым, г Евпатория, Симферопольское шоссе, 10 км;3500.0;Муниципальная/Арен да;Земли населенных пунктов;Отдых (рекреация);Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;37;2;2;90:11:130701:1079;Республика Крым, Сакский р-н, Лесновский с/с, уч 17;1000.0;Частная;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;37;3;3;90:11:130701:1105;Республика Крым, Сакский р-н, Лесновский с/с, уч 34;1000.0;Частная;Земли сельскохозяйственного назначения;Ведения садоводства;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;37;4;4;90:11:130701:1131;Республика Крым, Сакский р-н, Лесновский с/с, уч 38;1000.0;Сведения отсутствуют;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;37;5;5;90:11:130701:114;Республика Крым, Сакский район, на территории Лесновского сельского совета, индивидуальный участок № 177;1000.0;Частная;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;37;6;6;90:11:130701:1208;Республика Крым, Сакский р-н, Лесновский с/с, уч 60;1000.0;Частная;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;37;7;7;90:11:130701:1281;Республика Крым, Сакский р-н, Лесновский с/с, уч 58;1000.0;Частная;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;37;8;8;90:11:130701:1291;Республика Крым, Сакский р-н, Лесновский с/с, уч 157;1000.0;Частная;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;37;9;9;90:11:130701:1316;Республика Крым, Сакский р-н, Лесновский с/с, уч 4;1000.0;Частная;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;37;10;10;90:11:130701:1326;Российская Федерация, Республика Крым, Сакский муниципальный район, Лесновское сельское поселение, село Прибрежное, улица Дачная, земельный участок 182;1000.0;Частная;Земли сельскохозяйственного назначения;Ведение садоводства;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;37;11;11;90:11:130701:170;Республика Крым, муниципальный район Сакский, сельское поселение Лесновское, село Прибрежное, улица Дачная, земельный участок 170;1000.0;Частная;Земли сельскохозяйственного назначения;Ведение садоводства;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;37;12;12;90:11:130701:171;Республика Крым, Сакский район, на территории Лесновского сельского совета, индивидуальный участок №2;1000.0;Частная;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;37;13;13;90:11:130701:18;Республика Крым, Сакский район, на территории Лесновского сельского совета, индивидуальный участок № 23;1000.0;Частная;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;37;14;14;90:11:130701:182;Республика Крым, Сакский район, на территории Лесновского сельского совета, земельный участок № 13;1000.0;Частная;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;37;15;15;90:11:130701:184;Республика Крым, р-н Сакский, на терриитории Лесновского сельского совета, индивидуальный участок №8;1000.0;Частная;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;37;16;16;90:11:130701:19;Республика Крым, Сакский район, на территории Лесновского сельского совета, индивидуальный участок № 159;1000.0;Частная;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;37;17;17;90:11:130701:20;Республика Крым, Сакский район, на территории Лесновского сельского совета, индивидуальный участок 25;1000.0;Частная;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;37;18;18;90:11:130701:211;Республика Крым, р-н Сакский, на территории Лесновского сельского совета, индивидуальный участок №143;1000.0;Частная;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;37;19;19;90:11:130701:232;Республика Крым, Сакский район,на территории Лесновского сельскго совета, индивидуальный участок № 59;1000.0;Частная;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;38;20;20;90:11:130701:2440;Республика Крым, Сакский р-н, Лесновский с/с;625.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;38;21;21;90:11:130701:2448;Республика Крым, Сакский р-н, Лесновский с/с;625.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;38;22;22;90:11:130701:2449;Республика Крым, Сакский р-н, Лесновский с/с;625.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;38;23;23;90:11:130701:2450;Республика Крым, Сакский р-н, Лесновский с/с;625.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;38;24;24;90:11:130701:2451;Республика Крым, Сакский р-н, Лесновский с/с;625.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;38;25;25;90:11:130701:2452;Республика Крым, Сакский р-н, Лесновский с/с;625.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
