appendix;page;row_num;plot_num_plan;cadastral_number;storeys;address;area_cadastral_m2;area_preliminary_m2;area_use_right_m2;area_withdrawal_m2;land_category;land_use_type;notes;restrictions;easement_area_m2;compensation_sum
3;46;1;1;90:18:010182:307;Муниципальная/Аренда;Республика Крым, г Евпатория, Симферопольское шоссе, 10 км;3500.0;3500.0;3500.0;;Земли населенных пунктов;Отдых (рекреация);;90:18:000000:81 Нежилое здание;67.0;Частная
3;46;2;2;90:11:130701:1079;Частная;Республика Крым, Сакский р-н, Лесновский с/с, уч 17;1000.0;1000.0;1000.0;;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;;;;
3;46;3;3;90:11:130701:1105;Частная;Республика Крым, Сакский р-н, Лесновский с/с, уч 34;1000.0;1000.0;1000.0;;Земли сельскохозяйственного назначения;Ведения садоводства;;90:11:130701:3311 Жилой дом;23.5;Частная
3;46;4;4;90:11:130701:1131;Сведения отсутствуют;Республика Крым, Сакский р-н, Лесновский с/с, уч 38;1000.0;1000.0;1000.0;;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;;;;
3;46;5;5;90:11:130701:114;Частная;Республика Крым, Сакский район, на территории Лесновского сельского совета, индивидуальный участок № 177;1000.0;1000.0;1000.0;;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;;;;
3;46;6;6;90:11:130701:1208;Частная;Республика Крым, Сакский р-н, Лесновский с/с, уч 60;1000.0;1000.0;1000.0;;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;;;;
3;46;7;7;90:11:130701:1281;Частная;Республика Крым, Сакский р-н, Лесновский с/с, уч 58;1000.0;1000.0;1000.0;;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;;;;
3;46;8;8;90:11:130701:1291;Частная;Республика Крым, Сакский р-н, Лесновский с/с, уч 157;1000.0;1000.0;1000.0;;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;;;;
3;46;9;9;90:11:130701:1316;Частная;Республика Крым, Сакский р-н, Лесновский с/с, уч 4;1000.0;1000.0;1000.0;;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;;;;
3;46;10;10;90:11:130701:1326;Частная;Российская Федерация, Республика Крым, Сакский муниципальный район, Лесновское сельское поселение, село Прибрежное, улица Дачная, земельный участок 182;1000.0;1000.0;1000.0;;Земли сельскохозяйственного назначения;Ведение садоводства;;;;
3;46;11;11;90:11:130701:170;Частная;Республика Крым, муниципальный район Сакский, сельское поселение Лесновское, село Прибрежное, улица Дачная, земельный участок 170;1000.0;1000.0;1000.0;;Земли сельскохозяйственного назначения;Ведение садоводства;;;;
3;46;12;12;90:11:130701:171;Частная;Республика Крым, Сакский район, на территории Лесновского сельского совета, индивидуальный участок №2;1000.0;1000.0;1000.0;;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;;;;
3;46;13;13;90:11:130701:18;Частная;Республика Крым, Сакский район, на территории Лесновского сельского совета, индивидуальный участок № 23;1000.0;1000.0;1000.0;;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;;;;
