appendix;page;row_num;plot_num_plan;cadastral_number;area_m2;length_m;address;land_category;object_type;storeys;notes
4;56;1;194;90:18:000000:670;862991.0;6576.0;Республика Крым, Евпатория г;Земли населенных пунктов;Железнодорожный транспорт;Федеральная;В соответствии со ст. 39.23 Земельного кодекса Российской Федерации на часть земельного участка устанавливается сервитут с целью размещения линейного объекта.
4;57;1;77;90:11:130701:105;1000.0;1.0;Республика Крым, Сакский район, на территории Лесновского сельского совета, индивидуальный участок № 144;Частная;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;Земельный участок изымается для государственных нужд в полном объеме
4;57;2;90;90:11:130701:1152;1000.0;113.0;Республика Крым, Сакский р-н, Лесновский с/с, уч 145;Частная;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Часть земельного участка изымается для государственных нужд
4;57;3;113;90:11:130701:134;897.0;20.0;Республика Крым, р-н Сакский, с/с Лесновский;Частная;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;Земельный участок изымается для государственных нужд в полном объеме
4;57;4;219;90:11:130701:168;1000.0;30.0;Республика Крым, р-н Сакский, на территории Лесновского сельского совета, индивидуальный участок №146;Частная;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;
4;57;5;220;90:11:130701:772;6532.0;37.0;"Республика Крым, Сакский р-н, Лесновский с/с, на расстоянии 200 метров юго-западнее пансионата ""Прибрежный"", на расстоянии 450 метров западнее железнодорожной станции ""Прибрежная"" и на расстоянии 110 метров от уреза воды Черного моря, за границами населенных пунктов";Сведения отсутствуют;Земли особо охраняемых территорий и объектов;Туристическое обслуживание;
4;57;6;221;90:18:010182:601;4785.0;1323.0;Российская Федерация, Республика Крым, городской округ Евпатория, город Евпатория;Федеральная;Земли населенных пунктов;Железнодорожный транспорт;
4;57;7;69;90:18:010176:78;3427.0;3.0;Республика Крым, Евпатория г, Симферопольская ул, уч 2Ч;Муниципальная/Аренда;Земли населенных пунктов;Туристическое обслуживание;Часть земельного участка изымается для государственных нужд
4;57;8;70;90:18:010176:81;7702.0;19.0;Республика Крым, Евпатория г, Симферопольская ул, д 2Ц;Муниципальная/Аренда;Земли населенных пунктов;Туристическое обслуживание;Часть земельного участка изымается для государственных нужд
4;57;9;222;90:18:010179:13;925.0;352.0;Республика Крым, г Евпатория, улица Симферопольская;Частная/Аренда;Земли населенных пунктов;Блокированная жилая застройка;
4;57;10;223;90:18:010179:1507;497.0;23.0;297402, Республика Крым, Евпатория г, Симферопольская ул;Муниципальная/Аренда;Земли населенных пунктов;Для индивидуального жилищного строительства;
4;57;11;224;90:18:010179:2148;1298.0;84.0;Российская Федерация, Республика Крым, городской округ Евпатория, г Евпатория, ул Симферопольская, з/у 2 м;Муниципальная/Аренда;Земли населенных пунктов;Отдых (рекреация), код 5.0.;
4;57;12;73;90:18:010179:2177;10512.0;51.0;Российская Федерация, Российская Федерация, Республика Крым, городской округ Евпатория, г. Евпатория, ул. Симферопольская;Муниципальная/Аренда;Земли населенных пунктов;Туристическое обслуживание;Часть земельного участка изымается для государственных нужд
4;57;13;188;90:18:000000:1321;14194.0;35.0;Российская Федерация, Республика Крым, городской округ Евпатория, г. Евпатория, ул. Симферопольская, з/у 2ф/1;Муниципальная;Земли населенных пунктов;Туристическое обслуживание;
4;57;14;183;90:18:000000:1418;16146.0;5.0;Российская Федерация, Российская Федерация, Республика Крым, городской округ Евпатория, г. Евпатория, ул. Симферопольская;Муниципальная/Аренда;Земли населенных пунктов;Туристическое обслуживание;Часть земельного участка изымается для государственных нужд
4;57;15;184;90:18:000000:710;4581.0;1898.0;Республика Крым, Евпатория г, Эскадронная ул, 4;Муниципальная/Аренда;Земли населенных пунктов;Железнодорожный транспорт, земельные участки (территории) общего пользования;Часть земельного участка изымается для государственных нужд
